city,km5,km10,km15,km20,hm,km25,km30,km35,km40,time,cat,place,cat_place
Sittard,1596,3191,4787,6385,6742,7999,9641,11358,13285,14133,M45,3872,702
Beek Lb,1889,3852,5816,7754,8183,9669,11647,13670,15754,16618,M50,6732,770
London,1615,3214,4814,6388,6734,7970,9600,11241,13019,13746,MSR,3278,694
Fortuna,1258,2516,3774,5036,5320,6307,7582,8866,10324,11011,M45,567,93
AAC '61,1691,3360,5030,6696,7068,8400,10168,12214,14537,15463,M55,5517,284
Rotterdam,1768,3597,5426,7252,7675,9107,11017,13074,15250,16089,M55,6276,346
Helsinki,1359,2728,4097,5479,5782,6858,8270,9771,11366,12072,M50,1244,115
Aquilo,1412,2789,4166,5550,5854,6928,8318,9721,11170,11820,M40,1058,219
's-Gravenhage,1795,3539,5284,7018,7403,8746,10446,12039,13547,14204,M45,4446,791
Houten,1633,3241,4849,6520,6878,8202,10170,12059,14048,14866,M45,4959,869
Chardonne,1197,2411,3625,4844,5122,6082,7319,8583,9955,10563,M40,356,66
London,1480,2879,4278,5691,6021,7162,8629,10154,11733,12406,M55,1561,41
Rotterdam,1413,2822,4231,5672,5998,7134,8626,10273,11941,12656,M35,1770,293
Helsinki,1281,2542,3804,5062,5347,6343,7643,8907,10184,10731,M35,447,81
Hellas,1269,2538,3807,5098,5388,6409,7739,9074,10475,11093,M40,609,115
Delft,1837,3583,5329,7109,7567,9023,10921,13125,15347,16323,M50,6553,752
Bremen,1660,3295,4931,6659,7038,8334,10032,11668,13383,14076,M60,4072,78
Namur,1858,3711,5564,7414,7835,9311,11263,13275,15324,16297,M45,6646,1109
Spongdal,1294,2571,3849,5128,5421,6402,7673,8974,10369,10952,M40,574,105
Eindhoven Atletiek,1230,2415,3600,4792,5057,5978,7141,8254,9386,9873,M45,188,8
London,1331,2660,3990,5328,5629,6749,8315,10099,12168,13000,MSR,2274,516
London,1751,3455,5159,6882,7271,8629,10459,12404,14665,15522,M40,5843,1072
Helsinki,1366,2713,4060,5425,5734,6825,8246,9702,11175,11796,M35,1149,198
Rotterdam,2001,3938,5875,7795,8227,9707,11803,14169,16151,16990,MSR,6921,1246
Enschede,1886,3688,5491,7274,7682,9090,10754,12364,13713,14325,MSR,4434,893
's-Hertogenbosch,1495,2978,4462,5955,6283,7462,9002,10548,12142,12824,M45,2147,399
London,1317,2595,3874,5141,5420,6410,7666,8920,10199,10752,MSR,550,182
De Kieviten,1803,3580,5357,7180,7597,9000,10920,13049,15286,16271,M40,6597,1167
"Sundays Well, Cork",1390,2742,4095,5447,5746,6809,8164,9519,10931,11560,MSR,891,245
Fortuna,1543,3021,4499,5969,6298,7449,8949,10591,12300,13013,M50,2305,249
Ilion,1538,3048,4558,6142,6534,7820,9528,11427,13296,14105,M45,3767,683
MarathonPlus,1309,2624,3939,5256,5549,6580,7900,9264,10768,11504,M45,785,135
Wijchen,1544,3052,4560,6055,6383,7543,9058,10521,12061,12717,MSR,2067,481
Breda,1548,3074,4601,6126,6470,7683,9262,10859,12552,13246,M40,2560,512
MarathonPlus,1513,2945,4377,5794,6114,7221,8647,10092,11759,12511,M35,1745,290
Rotterdam,1779,3616,5453,7392,7843,9314,11227,13370,15487,16411,M50,6594,756
's-Gravenhage,1900,3858,5816,7715,8116,9573,11420,13223,14877,15581,MSR,6010,1128
Sneek,1914,3884,5854,7912,8402,10119,12428,14857,17301,18325,M35,7346,838
Rotterdam,1472,2920,4368,5872,6216,7439,9075,10882,12831,13593,M35,3229,469
Zandvoort,1291,2555,3820,5088,5368,6379,7691,9033,10595,11224,M35,685,129
Maasland,1673,3351,5029,6751,7174,8545,10386,12594,14821,15776,MSR,6013,1129
Hellas,1609,3189,4769,6334,6680,7896,9466,10999,12597,13283,M45,2802,515
Rotterdam,1519,2972,4425,5887,6216,7368,8861,10416,12134,12926,M45,2291,422
Barendrecht,1794,3573,5352,7141,7535,8950,10793,12968,15468,16640,M45,6774,1128
Scheldesport,1461,2838,4216,5570,5877,6936,8337,9759,11191,11807,M35,1043,177
Feldkirchen,1315,2617,3920,5249,5550,6616,8018,9511,11100,11703,M45,993,184
Scheldesport,1461,2838,4216,5570,5878,6935,8338,9800,11380,12030,M35,1218,214
Ridderkerk,1621,3196,4771,6355,6698,7939,9630,11333,13071,13798,M40,3406,675
Weener,1758,3485,5213,6920,7405,8738,10478,12294,14231,15026,M55,5424,282
Stirling,1644,3248,4852,6453,6820,8088,9763,11708,13714,14453,MSR,4656,929
PAC,1887,3760,5633,7574,8003,9437,11279,13267,15440,16356,M45,6555,1090
Lodi,1261,2523,3785,5065,5365,6379,7707,9096,10577,11248,M35,729,136
